pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=176419723278196551475807007207830673340, geometry=POINT (13460195.571450489 3638422.0541445594), status=home, }",27.0,23.0,14.0,23.0,12.0,12.0,36.0,22.0,28.0,32.0,31.0,36.0,2,6,17,3,9
set(),14.0,13.0,18.0,18.0,4.0,19.0,12.0,21.0,7.0,11.0,11.0,7.0,30,32,37,8,6
"{Commuter(unique_id=69875298747382016740382888212945811512, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=9532419755031225111192887010687111820, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=253080510201562566900675391825029384262, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=181839023257102479190317296863243632299, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=179816883359376398750728769170734890442, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=211120799605172161149949531933043248580, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=188369855428111225763905476633365663888, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=334470629893243670841859583588799597640, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=196720884259117787603566585883043768113, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=7711524047989414811985218229472550317, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=306434399629473651507875173947442850419, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=296862818288053545960829525181183703332, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=265585891233125172719381262513307055511, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=127932431176919456311302786130646328984, geometry=POINT (13460976.249127787 3638260.712350638), status=home, }",159.0,169.0,167.0,154.0,152.0,164.0,83.0,95.0,85.0,85.0,83.0,91.0,49,46,49,22,17
set(),18.0,8.0,4.0,1.0,18.0,15.0,18.0,18.0,18.0,14.0,11.0,7.0,10,0,1,21,14
set(),18.0,18.0,13.0,7.0,13.0,18.0,18.0,16.0,17.0,0.0,6.0,6.0,5,6,9,17,4
set(),9.0,17.0,0.0,3.0,0.0,11.0,18.0,5.0,14.0,8.0,7.0,3.0,19,17,4,3,9
"{Commuter(unique_id=53283720920175450199676392124391600275, geometry=POINT (13460161.575920485 3638397.7376659494), status=home, , Commuter(unique_id=18040670438941908689848385658651038334, geometry=POINT (13460161.575920485 3638397.7376659494), status=home, }",35.0,39.0,27.0,37.0,30.0,27.0,36.0,24.0,32.0,37.0,20.0,38.0,5,8,17,9,8
set(),15.0,3.0,11.0,12.0,13.0,16.0,2.0,9.0,16.0,5.0,1.0,7.0,5,5,13,26,11
set(),7.0,3.0,13.0,7.0,4.0,12.0,29.0,28.0,38.0,38.0,26.0,30.0,14,6,13,15,9
"{Commuter(unique_id=262022813047797104824441807680868066221, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, , Commuter(unique_id=215573965680970179812642691914053521250, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, , Commuter(unique_id=333301134080014614393896039996340559458, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, }",43.0,51.0,54.0,66.0,48.0,37.0,40.0,30.0,30.0,45.0,38.0,42.0,19,0,4,21,29
